ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300306.SZ,20230316,11.61,11.65,11.19,11.21,11.7,-0.48999999999999844,-4.188,117131.66,132577.03
300306.SZ,20230315,11.6,12.11,11.5,11.7,11.33,0.3699999999999992,3.2657,178104.03,210192.792
300306.SZ,20230314,11.39,11.42,11.0,11.33,11.41,-0.08000000000000007,-0.7011,61490.14,69078.879
300306.SZ,20230313,11.44,11.52,11.19,11.41,11.47,-0.0600000000000005,-0.5231,57784.0,65484.442
300306.SZ,20230310,11.29,11.66,11.26,11.47,11.36,0.11000000000000121,0.9683,83489.94,95849.134
300306.SZ,20230309,11.16,11.42,10.95,11.36,11.08,0.27999999999999936,2.5271,58976.0,66266.793
300306.SZ,20230308,10.8,11.12,10.79,11.08,10.89,0.1899999999999995,1.7447,32643.12,35994.182
300306.SZ,20230307,11.26,11.27,10.85,10.89,11.25,-0.35999999999999943,-3.2,42722.3,47026.383
300306.SZ,20230306,11.24,11.38,11.14,11.25,11.2,0.05000000000000071,0.4464,31316.02,35241.29
300306.SZ,20230303,11.35,11.4,11.11,11.2,11.34,-0.14000000000000057,-1.2346,33484.0,37632.234
300306.SZ,20230302,11.35,11.43,11.27,11.34,11.39,-0.05000000000000071,-0.439,33991.07,38565.523
300306.SZ,20230301,11.02,11.44,10.91,11.39,11.02,0.370000000000001,3.3575,62151.02,70167.705
300306.SZ,20230228,10.99,11.17,10.86,11.02,10.95,0.07000000000000028,0.6393,32385.0,35665.257
300306.SZ,20230227,11.11,11.22,10.91,10.95,11.13,-0.1800000000000015,-1.6173,37127.0,40889.511
300306.SZ,20230224,11.2,11.28,11.06,11.13,11.2,-0.06999999999999851,-0.625,41065.7,45798.505
300306.SZ,20230223,11.2,11.41,11.04,11.2,11.18,0.019999999999999574,0.1789,63764.0,71393.906
300306.SZ,20230222,11.1,11.22,10.98,11.18,11.14,0.03999999999999915,0.3591,26120.0,29000.012
300306.SZ,20230221,11.19,11.34,11.04,11.14,11.16,-0.019999999999999574,-0.1792,30259.0,33851.762
300306.SZ,20230220,11.18,11.21,10.95,11.16,11.02,0.14000000000000057,1.2704,37215.53,41245.517
300306.SZ,20230217,11.2,11.28,11.02,11.02,11.19,-0.16999999999999993,-1.5192,48350.0,53772.947
300306.SZ,20230216,11.46,11.6,11.07,11.19,11.54,-0.34999999999999964,-3.0329,79681.51,90564.621
300306.SZ,20230215,11.28,11.57,11.25,11.54,11.3,0.23999999999999844,2.1239,63211.0,72434.167
300306.SZ,20230214,11.3,11.38,11.22,11.3,11.29,0.010000000000001563,0.0886,38592.4,43567.906
300306.SZ,20230213,11.2,11.38,11.17,11.29,11.31,-0.02000000000000135,-0.1768,46886.0,52824.683
300306.SZ,20230210,11.21,11.44,11.1,11.31,11.21,0.09999999999999964,0.8921,63702.84,71948.849
300306.SZ,20230209,10.93,11.24,10.88,11.21,10.96,0.25,2.281,56558.16,62877.328
300306.SZ,20230208,11.1,11.12,10.94,10.96,11.11,-0.14999999999999858,-1.3501,45379.0,50031.909
300306.SZ,20230207,11.11,11.13,10.87,11.11,11.04,0.07000000000000028,0.6341,59107.0,65085.472
300306.SZ,20230206,10.88,11.14,10.84,11.04,10.95,0.08999999999999986,0.8219,62456.24,68679.589
300306.SZ,20230203,10.91,11.03,10.68,10.95,10.97,-0.02000000000000135,-0.1823,86633.0,94068.673
300306.SZ,20230202,11.01,11.27,10.87,10.97,10.92,0.05000000000000071,0.4579,127492.42,140896.748
300306.SZ,20230201,10.37,10.95,10.33,10.92,10.35,0.5700000000000003,5.5072,119340.84,127978.237
300306.SZ,20230131,10.19,10.42,10.11,10.35,10.15,0.1999999999999993,1.9704,47894.0,49411.943
300306.SZ,20230130,10.01,10.22,10.0,10.15,9.94,0.21000000000000085,2.1127,34354.0,34760.787
300306.SZ,20230120,9.87,10.0,9.84,9.94,9.88,0.05999999999999872,0.6073,24108.0,23956.453
300306.SZ,20230119,9.74,9.93,9.7,9.88,9.74,0.14000000000000057,1.4374,29482.0,29025.41
300306.SZ,20230118,9.63,9.76,9.58,9.74,9.56,0.17999999999999972,1.8828,20238.0,19615.044
300306.SZ,20230117,9.68,9.7,9.53,9.56,9.6,-0.03999999999999915,-0.4167,12641.0,12130.134
300306.SZ,20230116,9.45,9.61,9.43,9.6,9.45,0.15000000000000036,1.5873,16436.0,15728.73
300306.SZ,20230113,9.55,9.59,9.41,9.45,9.55,-0.10000000000000142,-1.0471,15534.0,14715.539
300306.SZ,20230112,9.52,9.62,9.5,9.55,9.55,0.0,0.0,11589.0,11081.85
300306.SZ,20230111,9.67,9.72,9.54,9.55,9.63,-0.08000000000000007,-0.8307,16506.0,15898.444
300306.SZ,20230110,9.72,9.77,9.61,9.63,9.68,-0.049999999999998934,-0.5165,15070.02,14528.228
300306.SZ,20230109,9.66,9.8,9.64,9.68,9.66,0.019999999999999574,0.207,18781.0,18240.754
300306.SZ,20230106,9.81,9.85,9.66,9.66,9.86,-0.1999999999999993,-2.0284,33950.0,33088.054
300306.SZ,20230105,9.69,10.04,9.6,9.86,9.71,0.14999999999999858,1.5448,67556.0,66500.13
300306.SZ,20230104,9.57,9.74,9.56,9.71,9.63,0.08000000000000007,0.8307,23662.0,22872.712
300306.SZ,20230103,9.28,9.69,9.22,9.63,9.28,0.3500000000000014,3.7716,29012.19,27664.841
300306.SZ,20221230,9.25,9.34,9.16,9.28,9.18,0.09999999999999964,1.0893,13236.0,12270.64
300306.SZ,20221229,9.08,9.27,9.08,9.18,9.11,0.07000000000000028,0.7684,18147.18,16684.616
300306.SZ,20221228,9.35,9.35,9.1,9.11,9.35,-0.2400000000000002,-2.5668,25936.0,23772.04
300306.SZ,20221227,9.47,9.49,9.2,9.35,9.42,-0.07000000000000028,-0.7431,21938.0,20399.062
300306.SZ,20221226,9.42,9.5,9.36,9.42,9.39,0.02999999999999936,0.3195,15725.0,14824.049
300306.SZ,20221223,9.3,9.45,9.24,9.39,9.3,0.08999999999999986,0.9677,15207.0,14234.033
300306.SZ,20221222,9.58,9.61,9.28,9.3,9.52,-0.21999999999999886,-2.3109,19064.84,17968.836
300306.SZ,20221221,9.83,9.83,9.46,9.52,9.78,-0.2599999999999998,-2.6585,21525.2,20627.216
300306.SZ,20221220,9.73,9.91,9.61,9.78,9.73,0.049999999999998934,0.5139,17824.84,17416.581
300306.SZ,20221219,10.09,10.2,9.69,9.73,10.14,-0.41000000000000014,-4.0434,35654.68,35188.369
300306.SZ,20221216,10.37,10.37,10.13,10.14,10.37,-0.22999999999999865,-2.2179,28327.0,28851.87
300306.SZ,20221215,10.15,10.38,9.96,10.37,10.09,0.27999999999999936,2.775,35564.84,36540.05
300306.SZ,20221214,10.08,10.23,10.05,10.09,10.07,0.019999999999999574,0.1986,19206.42,19473.561
300306.SZ,20221213,10.33,10.36,10.03,10.07,10.29,-0.21999999999999886,-2.138,27704.0,28083.069
300306.SZ,20221212,10.25,10.33,10.11,10.29,10.26,0.02999999999999936,0.2924,32239.99,32991.478
300306.SZ,20221209,10.51,10.54,10.24,10.26,10.51,-0.25,-2.3787,46053.0,47646.99
300306.SZ,20221208,10.38,10.65,10.24,10.51,10.39,0.11999999999999922,1.155,72403.02,75813.403
300306.SZ,20221207,10.46,10.46,10.29,10.39,10.41,-0.019999999999999574,-0.1921,25193.0,26082.605
300306.SZ,20221206,10.5,10.53,10.39,10.41,10.52,-0.10999999999999943,-1.0456,27638.0,28860.431
300306.SZ,20221205,10.51,10.62,10.43,10.52,10.51,0.009999999999999787,0.0951,29607.0,31042.985
300306.SZ,20221202,10.27,10.61,10.24,10.51,10.29,0.22000000000000064,2.138,56159.0,59036.131
300306.SZ,20221201,10.26,10.42,10.22,10.29,10.22,0.06999999999999851,0.6849,30753.0,31675.602
300306.SZ,20221130,10.4,10.4,10.15,10.22,10.32,-0.09999999999999964,-0.969,30805.35,31570.215
300306.SZ,20221129,9.92,10.38,9.88,10.32,9.88,0.4399999999999995,4.4534,52517.84,53654.473
300306.SZ,20221128,9.95,9.99,9.76,9.88,9.97,-0.08999999999999986,-0.9027,29531.63,29173.158
300306.SZ,20221125,10.12,10.15,9.96,9.97,10.12,-0.14999999999999858,-1.4822,24730.0,24782.503
300306.SZ,20221124,10.19,10.26,10.1,10.12,10.14,-0.02000000000000135,-0.1972,22803.62,23185.586
300306.SZ,20221123,10.42,10.42,9.98,10.14,10.39,-0.25,-2.4062,43317.0,43873.518
300306.SZ,20221122,10.62,10.68,10.32,10.39,10.62,-0.22999999999999865,-2.1657,39353.0,41298.075
300306.SZ,20221121,10.57,10.62,10.4,10.62,10.56,0.05999999999999872,0.5682,38643.98,40633.513
300306.SZ,20221118,10.8,10.8,10.5,10.56,10.74,-0.17999999999999972,-1.676,54858.88,58526.635
300306.SZ,20221117,10.7,10.74,10.52,10.74,10.7,0.040000000000000924,0.3738,55030.0,58479.521
300306.SZ,20221116,10.52,10.73,10.46,10.7,10.53,0.16999999999999993,1.6144,62049.0,65963.503
300306.SZ,20221115,10.27,10.53,10.27,10.53,10.31,0.21999999999999886,2.1339,46732.02,48881.23
300306.SZ,20221114,10.26,10.41,10.2,10.31,10.25,0.0600000000000005,0.5854,33111.37,34131.615
300306.SZ,20221111,10.58,10.63,10.24,10.25,10.37,-0.11999999999999922,-1.1572,56671.0,59090.522
300306.SZ,20221110,10.3,10.49,10.28,10.37,10.38,-0.010000000000001563,-0.0963,44689.42,46385.34
300306.SZ,20221109,10.55,10.58,10.35,10.38,10.49,-0.10999999999999943,-1.0486,43021.0,44934.322
300306.SZ,20221108,10.46,10.49,10.24,10.49,10.39,0.09999999999999964,0.9625,47921.02,49872.417
