ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
603823.SH,20230317,18.6,19.16,18.5,18.8,18.46,0.33999999999999986,1.8418,24455.0,45860.717
603823.SH,20230316,19.01,19.02,18.38,18.46,18.99,-0.5299999999999976,-2.7909,28744.6,53536.389
603823.SH,20230315,19.43,19.7,18.96,18.99,19.38,-0.39000000000000057,-2.0124,24097.0,46382.106
603823.SH,20230314,19.61,19.85,19.0,19.38,19.73,-0.3500000000000014,-1.7739,25158.83,48973.536
603823.SH,20230313,19.32,19.84,19.0,19.73,19.33,0.40000000000000213,2.0693,23947.0,46836.369
603823.SH,20230310,19.46,19.59,19.16,19.33,19.73,-0.40000000000000213,-2.0274,21326.0,41232.887
603823.SH,20230309,19.85,19.92,19.5,19.73,19.71,0.019999999999999574,0.1015,18080.8,35578.888
603823.SH,20230308,19.25,19.8,19.21,19.71,19.25,0.46000000000000085,2.3896,17630.89,34628.784
603823.SH,20230307,19.9,19.9,19.0,19.25,19.99,-0.7399999999999984,-3.7019,26163.0,51182.638
603823.SH,20230306,20.17,20.24,19.58,19.99,20.17,-0.18000000000000327,-0.8924,34935.09,69320.155
603823.SH,20230303,20.89,20.93,20.03,20.17,20.74,-0.5699999999999967,-2.7483,37333.8,75823.236
603823.SH,20230302,21.03,21.37,20.63,20.74,20.81,-0.07000000000000028,-0.3364,21554.0,45021.917
603823.SH,20230301,20.99,21.05,20.67,20.81,20.99,-0.17999999999999972,-0.8576,16632.4,34660.754
603823.SH,20230228,20.93,21.1,20.6,20.99,20.69,0.29999999999999716,1.45,21815.68,45505.879
603823.SH,20230227,20.73,21.11,20.3,20.69,20.66,0.030000000000001137,0.1452,26928.61,55905.844
603823.SH,20230224,20.75,21.07,20.55,20.66,20.9,-0.23999999999999844,-1.1483,22684.6,47076.65
603823.SH,20230223,20.42,21.15,20.26,20.9,20.43,0.46999999999999886,2.3005,36221.8,75429.575
603823.SH,20230222,20.55,20.75,20.12,20.43,20.54,-0.10999999999999943,-0.5355,21627.8,44116.295
603823.SH,20230221,20.05,20.8,19.9,20.54,20.06,0.4800000000000004,2.3928,34981.4,71840.027
603823.SH,20230220,19.66,20.2,19.41,20.06,19.62,0.4399999999999977,2.2426,37293.69,73657.86
603823.SH,20230217,19.66,20.16,19.44,19.62,19.57,0.05000000000000071,0.2555,34186.4,67405.081
603823.SH,20230216,20.77,20.98,19.4,19.57,20.94,-1.370000000000001,-6.5425,87099.92,174704.651
603823.SH,20230215,21.12,21.33,20.68,20.94,21.13,-0.18999999999999773,-0.8992,28613.0,59895.242
603823.SH,20230214,20.95,21.34,20.73,21.13,20.96,0.16999999999999815,0.8111,39541.6,83381.896
603823.SH,20230213,20.41,21.2,20.41,20.96,20.46,0.5,2.4438,41274.2,86248.66
603823.SH,20230210,20.55,20.67,20.19,20.46,20.47,-0.00999999999999801,-0.0489,25840.8,52717.305
603823.SH,20230209,20.62,21.1,20.2,20.47,20.61,-0.14000000000000057,-0.6793,31400.4,64394.66
603823.SH,20230208,20.1,20.92,19.9,20.61,20.12,0.48999999999999844,2.4354,35006.46,71753.622
